hourAverageMax,highOzone,weekday,pressure500Height,windSpeed,humidity,tempSandburg,inversionBaseHeight,pressureGradientDaggett,inversionBaseTemp,visibility
3,0,Thursday,5480,8,20,NA,5000,-15,30.56,200
3,0,Friday,5660,6,NA,38,NA,-14,NA,300
3,0,Saturday,5710,4,28,40,2693,-25,47.66,250
5,0,Sunday,5700,3,37,45,590,-24,55.04,100
5,0,Monday,5760,3,51,54,1450,25,57.02,60
6,0,Tueday,5720,4,69,35,1568,15,53.78,60
4,0,Wednesday,5790,6,19,45,2631,-33,54.14,100
4,0,Thursday,5790,3,25,55,554,-28,64.76,250
6,0,Friday,5700,3,73,41,2083,23,52.52,120
7,0,Saturday,5700,3,59,44,2654,-2,48.38,120
4,0,Sunday,5770,8,27,54,5000,-19,48.56,120
6,0,Monday,5720,3,44,51,111,9,63.14,150
5,0,Tueday,5760,6,33,51,492,-44,64.58,40
4,0,Wednesday,5780,6,19,54,5000,-44,56.3,200
4,0,Thursday,5830,3,19,58,1249,-53,75.74,250
7,0,Friday,5870,2,19,61,5000,-67,65.48,200
5,0,Saturday,5840,5,19,64,5000,-40,63.32,200
9,0,Sunday,5780,4,59,67,639,1,66.02,150
4,0,Monday,5680,5,73,52,393,-68,69.8,10
3,0,Tueday,5720,4,19,54,5000,-66,54.68,140
4,0,Wednesday,5760,3,19,54,5000,-58,51.98,250
4,0,Thursday,5730,4,26,58,5000,-26,51.98,200
5,0,Friday,5700,5,59,69,3044,18,52.88,150
6,0,Saturday,5650,5,70,51,3641,23,47.66,140
9,0,Sunday,5680,3,64,53,111,-10,59.54,50
5,0,Monday,5780,3,NA,56,692,-25,67.1,0
6,0,Tueday,5820,5,19,59,597,-52,70.52,70
6,0,Wednesday,5830,4,NA,59,NA,-44,NA,150
6,0,Thursday,5810,5,19,64,1791,-15,64.76,150
11,1,Friday,5790,3,28,63,793,-15,65.84,120
10,1,Saturday,5800,2,32,63,531,-38,75.92,40
7,0,Sunday,5820,5,19,62,419,-29,75.74,120
12,1,Monday,5770,8,76,63,816,-7,66.2,6
9,0,Tueday,5670,3,69,54,3651,62,49.1,30
2,0,Wednesday,5590,3,76,36,5000,70,37.94,100
3,0,Thursday,5410,6,64,31,5000,28,32.36,200
3,0,Friday,5350,7,62,30,1341,18,45.86,60
2,0,Saturday,5480,9,72,36,5000,0,38.66,350
3,0,Sunday,5600,7,76,42,3799,-18,45.86,250
3,0,Monday,5490,11,72,37,5000,32,38.12,350
4,0,Tueday,5560,10,72,41,5000,-1,37.58,300
6,0,Wednesday,5700,3,32,46,5000,-30,45.86,300
8,0,Thursday,5680,5,50,51,5000,-8,45.5,300
6,0,Friday,5700,4,86,55,2398,21,53.78,200
4,0,Saturday,5650,5,61,41,5000,51,36.32,100
3,0,Sunday,5610,5,62,41,4281,42,41.36,250
7,0,Monday,5730,5,66,49,1161,27,52.88,200
11,1,Tueday,5770,5,68,45,2778,2,55.76,200
13,1,Wednesday,5770,3,82,55,442,26,58.28,40
4,0,Thursday,5700,5,NA,45,NA,82,NA,2
6,0,Friday,5690,8,21,41,5000,-30,42.26,300
5,0,Saturday,5700,3,19,45,5000,-53,43.88,300
4,0,Sunday,5730,11,19,51,5000,-43,49.1,300
4,0,Monday,5690,7,19,53,5000,7,49.1,300
